racing_number,position,gap_seconds,laps_behind,interval_seconds,catching,overtake_state,is_leader,leader_lap,pit_stops,is_out,timestamp_ms
41,,5.828,0,0.215,,,false,,,,3467600
30,,5.895,0,0.067,,,false,,,,3467683
43,,,0,,,neutral,false,,,,3467696
63,,2.249,0,0.834,,,false,,,,3467755
41,,,0,,,neutral,false,,,,3468016
30,,,0,,,neutral,false,,,,3468132
11,,15.354,0,10.862,,,false,,,,3468278
10,,2.779,0,0.53,,,false,,,,3468278
14,,6.59,0,0.695,,,false,,,,3468376
31,,6.734,0,0.144,,,false,,,,3468526
14,,,0,,,neutral,false,,,,3468752
87,,,0,,,neutral,false,,,,3468758
87,,7.05,0,0.316,,,false,,,,3468800
55,,7.134,0,0.084,,,false,,,,3468926
31,,,0,,,neutral,false,,,,3469051
3,,7.611,0,0.477,,,false,,,,3469395
55,,,0,,,neutral,false,,,,3469473
3,,,0,,,neutral,false,,,,3469833
77,,8.076,0,0.465,,,false,,,,3469848
27,,8.473,0,0.397,,,false,,,,3470254
77,,,0,,,neutral,false,,,,3470301
27,,,0,,,neutral,false,,,,3470692
18,,9.195,0,0.722,,,false,,,,3471004
43,,5.526,0,2.747,,,false,,,,3471051
41,,5.596,0,0.07,,,false,,,,3471176
18,,,0,,,neutral,false,,,,3471254
6,,,0,,,neutral,false,,,,3471254
30,,5.636,0,0.04,,,false,,,,3471379
14,,6.439,0,0.803,,,false,,,,3471942
31,,6.479,0,0.04,,,false,,,,3472004
87,,6.814,0,0.335,,,false,,,,3472301
55,,6.868,0,0.054,,,false,,,,3472629
6,18,,0,,,lost_position,false,,,,3472645
11,17,,0,,not_closing,gained_position,false,,,,3472645
11,,15.556,0,6.343,,,false,,,,3472723
3,,7.346,0,0.478,,,false,,,,3472864
6,,16.003,0,0.447,,,false,,,,3473176
77,,7.84,0,0.494,,,false,,,,3473364
27,,8.213,0,0.373,,,false,,,,3473723
18,,9.096,0,0.883,,,false,,,,3474598
12,,0.674,0,0.674,,,false,,,,3474598
16,,1.501,0,0.827,,,false,,,,3475426
63,,2.394,0,0.893,,,false,,,,3476317
10,,3.092,0,0.698,,,false,,,,3477036
11,,15.568,0,6.373,,,false,,,,3477317
11,,,0,,,neutral,false,,,,3477629
6,,,0,,,neutral,false,,,,3477629
6,,17.048,0,1.48,,,false,,,,3478801
12,,0.596,0,0.596,,,false,,,,3478864
16,,,0,0.905,,,false,,,,3479754
43,,5.907,0,2.815,,,false,,,,3479833
12,,0.629,0,0.629,,,false,,,,3479895
30,7,,0,,,gained_position,false,,,,3479942
41,8,,0,,,lost_position,false,,,,3479942
30,,6.099,0,0.192,,,false,,,,3480037
41,,6.327,0,0.228,,,false,,,,3480239
31,9,,0,,,gained_position,false,,,,3480473
14,10,,0,,,lost_position,false,,,,3480473
31,,6.641,0,0.314,,,false,,,,3480551
63,,2.343,0,0.842,,,false,,,,3480614
16,,1.514,0,0.885,,,false,,,,3480786
11,,15.467,0,6.371,,,false,,,,3480973
14,,7.089,0,0.448,,,false,,,,3481067
87,12,,0,,,lost_position,false,,,,3481145
55,11,,0,,,gained_position,false,,,,3481145
55,,7.265,0,0.176,,,false,,,,3481239
10,,2.987,0,0.644,,,false,,,,3481255
87,,7.452,0,0.187,,,false,,,,3481442
63,,2.359,0,0.845,,,false,,,,3481614
3,,7.862,0,0.41,,,false,,,,3481821
12,,0.692,0,0.692,,,false,,,,3482239
10,,3.017,0,0.658,,,false,,,,3482254
77,,8.478,0,0.616,,,false,,,,3482395
27,,9.02,0,0.542,,,false,,,,3482926
6,,17.609,0,2.142,,,false,,,,3483130
16,,1.604,0,0.912,,,false,,,,3483161
18,,9.606,0,0.586,,,false,,,,3483489
12,,0.691,0,0.691,,,false,,,,3483692
44,,,0,,,,true,2,,,3483801
63,,2.367,0,0.763,,,false,,,,3483926
43,,5.869,0,2.882,,,false,,,,3484129
12,,0.689,0,0.689,,,false,,,,3484442
30,,6.228,0,0.359,,,false,,,,3484504
16,,1.616,0,0.925,,,false,,,,3484598
10,,3.14,0,0.773,,,false,,,,3484708
41,,6.515,0,0.287,,,false,,,,3484801
30,,,0,,,neutral,false,,,,3484942
41,,,0,,,neutral,false,,,,3484942
31,,6.765,0,0.25,,,false,,,,3485068
43,,5.953,0,2.936,,,false,,,,3485208
16,,,0,0.927,,,false,,,,3485364
63,,2.36,0,0.744,,,false,,,,3485385
31,,,0,,,neutral,false,,,,3485461
14,,,0,,,neutral,false,,,,3485517
14,,7.162,0,0.397,,,false,,,,3485527
30,,6.415,0,0.462,,,false,,,,3485667
55,,7.372,0,0.21,,,false,,,,3485785
41,,6.695,0,0.28,,,false,,,,3485963
10,,3.148,0,0.788,,,false,,,,3486119
63,,2.367,0,0.751,,,false,,,,3486123
87,,7.615,0,0.243,,,false,,,,3486137
55,,,0,,,neutral,false,,,,3486141
87,,,0,,,neutral,false,,,,3486141
31,,6.955,0,0.26,,,false,,,,3486246
3,,7.906,0,0.291,,,false,,,,3486431
14,,7.37,0,0.415,,,false,,,,3486732
77,,8.455,0,0.549,,,false,,,,3486796
10,,3.143,0,0.776,,,false,,,,3486931
55,,7.648,0,0.278,,,false,,,,3487061
27,,8.982,0,0.527,,,false,,,,3487277
87,,7.889,0,0.241,,,false,,,,3487356
43,,6.042,0,2.902,,,false,,,,3487608
3,,8.118,0,0.229,,,false,,,,3487608
18,,9.741,0,0.759,,,false,,,,3488041
77,,8.587,0,0.469,,,false,,,,3488137
30,,6.607,0,0.565,,,false,,,,3488171
